VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Correct2,Type,Trial,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Donkey.wav,3,NEW,B,,,3,1,0.391,0,47,47,47,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Howl.wav,3,NEW,B,,,3,1,0.364,0,48,48,48,1,,
,,,,,,,,,,,,,1,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,1,OLD,B,,,1,1,0.742,0,49,49,49,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Whistle_C.wav,2,SIMILAR,B,,,2,1,0.408,0,50,50,50,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,3,NEW,B,,,3,1,0.6,0,51,51,51,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Dog_F.wav,2,SIMILAR,B,,,2,1,2.285,0,52,52,52,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Horse.wav,3,NEW,B,,,3,1,0.255,0,53,53,53,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chomp_A.wav,3,NEW,B,,,3,1,0.472,0,54,54,54,1,,
,,,,,,,,,,,,,1,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Heartbeat.wav,1,OLD,B,,,1,1,0.82,0,55,55,55,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Clap_C.wav,2,SIMILAR,B,,,2,1,1.785,0,56,56,56,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Crow_B.wav,3,NEW,B,,,3,1,0.675,0,57,57,57,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Growl_F.wav,2,SIMILAR,B,,,1,0,1.173,0,58,58,58,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Printer.wav,3,NEW,B,,,3,1,1.554,0,59,59,59,1,,
,,,,,,,,,,,,,1,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Cello.wav,1,OLD,B,,,1,1,0.786,0,60,60,60,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Snore_C.wav,2,SIMILAR,B,,,2,1,1.118,0,61,61,61,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,CarStart_F.wav,3,NEW,B,,,1,0,0.368,0,62,62,62,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Goat_C.wav,2,SIMILAR,B,,,2,1,0.572,0,63,63,63,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Coin_E.wav,2,SIMILAR,B,,,2,1,0.636,0,64,64,64,1,,
,,,,,,,,,,,,,1,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Howl.wav,1,OLD,B,,,1,1,0.484,0,65,65,65,1,,
,,,,,,,,,,,,,1,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Airplane_B.wav,1,OLD,B,,,1,1,0.437,0,66,66,66,1,,
,,,,,,,,,,,,,1,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Mosquito_B.wav,1,OLD,B,,,3,0,0.435,0,67,67,67,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Droplet_B.wav,3,NEW,B,,,2,0,1.585,0,68,68,68,1,,
,,,,,,,,,,,,,1,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Donkey.wav,1,OLD,B,,,1,1,1.326,0,69,69,69,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Lures/Guitar_B.wav,3,NEW,B,,,3,1,0.569,0,70,70,70,1,,
,,,,,,,,,,,,,1,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Bagpipe.wav,1,OLD,B,,,1,1,0.453,0,71,71,71,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Hammer_A.wav,3,NEW,B,,,1,0,0.752,0,72,72,72,1,,
,,,,,,,,,,,,,1,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,1,OLD,B,,,1,1,0.656,0,73,73,73,1,,
